1785418358610335497 cluster=intermediate_queue_0 done=1
1785418365029623073 cluster=intermediate_queue_0 done=2
1785418365040747356 cluster=intermediate_queue_0 done=3
1785418366739644869 cluster=intermediate_queue_0 done=4
1785418375105577171 cluster=intermediate_queue_0 done=5
1785418375831757889 cluster=intermediate_queue_0 done=6
1785418375976525265 cluster=intermediate_queue_0 done=7
1785418383130731664 cluster=intermediate_queue_0 done=8
1785418385478891500 cluster=intermediate_queue_0 done=9
1785418386137047473 cluster=intermediate_queue_0 done=10
1785418393141359258 cluster=intermediate_queue_0 done=11
1785418394471234247 cluster=intermediate_queue_0 done=12
1785418395121930738 cluster=intermediate_queue_0 done=13
1785418401308513978 cluster=intermediate_queue_0 done=14
1785418402425670771 cluster=intermediate_queue_0 done=15
1785418403621641106 cluster=intermediate_queue_0 done=16 window_fps=10.66
1785418409563494019 cluster=intermediate_queue_0 done=17 window_fps=10.78
1785418410579170594 cluster=intermediate_queue_0 done=18 window_fps=10.54
1785418412235699883 cluster=intermediate_queue_0 done=19 window_fps=10.55
1785418418108587224 cluster=intermediate_queue_0 done=20 window_fps=11.16
1785418419380773072 cluster=intermediate_queue_0 done=21 window_fps=11.02
1785418421174643313 cluster=intermediate_queue_0 done=22 window_fps=10.62
1785418428581386790 cluster=intermediate_queue_0 done=23 window_fps=10.56
1785418429244852933 cluster=intermediate_queue_0 done=24 window_fps=10.97
1785418429651218854 cluster=intermediate_queue_0 done=25 window_fps=11.03
1785418437199339935 cluster=intermediate_queue_0 done=26 window_fps=10.89
1785418438038926962 cluster=intermediate_queue_0 done=27 window_fps=11.02
1785418438317339942 cluster=intermediate_queue_0 done=28 window_fps=11.11
1785418445716783633 cluster=intermediate_queue_0 done=29 window_fps=10.81
1785418446202715059 cluster=intermediate_queue_0 done=30 window_fps=10.96
1785418447978432463 cluster=intermediate_queue_0 done=31 window_fps=10.82
1785418453485408515 cluster=intermediate_queue_0 done=32 window_fps=10.93
1785418455972110274 cluster=intermediate_queue_0 done=33 window_fps=10.57
1785418457072403430 cluster=intermediate_queue_0 done=34 window_fps=10.71
1785418460594409730 cluster=intermediate_queue_0 done=35 window_fps=11.30
1785418465339414031 cluster=intermediate_queue_0 done=36 window_fps=10.44
1785418467130062032 cluster=intermediate_queue_0 done=37 window_fps=10.44
1785418467581798963 cluster=intermediate_queue_0 done=38 window_fps=12.31
1785418472514178297 cluster=intermediate_queue_0 done=39 window_fps=11.09
1785418475855045033 cluster=intermediate_queue_0 done=40 window_fps=10.39
1785418477409759422 cluster=intermediate_queue_0 done=41 window_fps=11.94
1785418480127924142 cluster=intermediate_queue_0 done=42 window_fps=11.40
1785418482808579930 cluster=intermediate_queue_0 done=43 window_fps=10.79
1785418487125932918 cluster=intermediate_queue_0 done=44 window_fps=11.59
1785418489471924209 cluster=intermediate_queue_0 done=45 window_fps=11.09
1785418490144232970 cluster=intermediate_queue_0 done=46 window_fps=11.38
1785418494867795221 cluster=intermediate_queue_0 done=47 window_fps=11.60
1785418497881198800 cluster=intermediate_queue_0 done=48 window_fps=11.45
1785418498415654861 cluster=intermediate_queue_0 done=49 window_fps=11.61
1785418503557491417 cluster=intermediate_queue_0 done=50 window_fps=11.17
1785418505851464851 cluster=intermediate_queue_0 done=51 window_fps=11.85
1785418507458187593 cluster=intermediate_queue_0 done=52 window_fps=11.90
1785418511369819314 cluster=intermediate_queue_0 done=53 window_fps=10.96
1785418513249833187 cluster=intermediate_queue_0 done=54 window_fps=11.78
1785418517011759595 cluster=intermediate_queue_0 done=55 window_fps=11.66
1785418519192165098 cluster=intermediate_queue_0 done=56 window_fps=11.49
1785418522187524833 cluster=intermediate_queue_0 done=57 window_fps=11.41
1785418526633677650 cluster=intermediate_queue_0 done=58 window_fps=10.95
1785418526952979289 cluster=intermediate_queue_0 done=59 window_fps=12.05
1785418530428347564 cluster=intermediate_queue_0 done=60 window_fps=11.72
1785418534415178442 cluster=intermediate_queue_0 done=61 window_fps=10.84
1785418536979476117 cluster=intermediate_queue_0 done=62 window_fps=11.40
1785418537935687250 cluster=intermediate_queue_0 done=63 window_fps=11.98
1785418542163909910 cluster=intermediate_queue_0 done=64 window_fps=10.97
1785418544613300943 cluster=intermediate_queue_0 done=65 window_fps=11.69
1785418546005870877 cluster=intermediate_queue_0 done=66 window_fps=11.95
1785418550896149881 cluster=intermediate_queue_0 done=67 window_fps=11.05
1785418551035163818 cluster=intermediate_queue_0 done=68 window_fps=12.10
1785418554122141644 cluster=intermediate_queue_0 done=69 window_fps=11.74
1785418558865972844 cluster=intermediate_queue_0 done=70 window_fps=11.47
1785418560270775496 cluster=intermediate_queue_0 done=71 window_fps=11.68
1785418562185292842 cluster=intermediate_queue_0 done=72 window_fps=12.00
1785418567533845318 cluster=intermediate_queue_0 done=73 window_fps=11.74
1785418568608313108 cluster=intermediate_queue_0 done=74 window_fps=11.52
1785418569292883852 cluster=intermediate_queue_0 done=75 window_fps=12.35
1785418573775284430 cluster=intermediate_queue_0 done=76 window_fps=12.20
1785418577701208308 cluster=intermediate_queue_0 done=77 window_fps=11.79
1785418577745370540 cluster=intermediate_queue_0 done=78 window_fps=12.06
1785418578985354510 cluster=intermediate_queue_0 done=79 window_fps=13.04
1785418585812774948 cluster=intermediate_queue_0 done=80 window_fps=11.65
1785418586205816568 cluster=intermediate_queue_0 done=81 window_fps=11.94
1785418586416310730 cluster=intermediate_queue_0 done=82 window_fps=13.51
1785418592698305637 cluster=intermediate_queue_0 done=83 window_fps=11.52
1785418594656762128 cluster=intermediate_queue_0 done=84 window_fps=11.84
1785418595428896392 cluster=intermediate_queue_0 done=85 window_fps=13.13
1785418598831439614 cluster=intermediate_queue_0 done=86 window_fps=12.45
1785418601906249625 cluster=intermediate_queue_0 done=87 window_fps=12.08
1785418604923528319 cluster=intermediate_queue_0 done=88 window_fps=12.84
1785418604967805095 cluster=intermediate_queue_0 done=89 window_fps=13.20
1785418609693041705 cluster=intermediate_queue_0 done=90 window_fps=11.88
1785418612824332503 cluster=intermediate_queue_0 done=91 window_fps=12.29
1785418613488968547 cluster=intermediate_queue_0 done=92 window_fps=13.41
1785418619817384143 cluster=intermediate_queue_0 done=93 window_fps=11.41
1785418620295149078 cluster=intermediate_queue_0 done=94 window_fps=11.62
1785418621236811197 cluster=intermediate_queue_0 done=95 window_fps=13.55
1785418627230015823 cluster=intermediate_queue_0 done=96 window_fps=11.70
1785418628841342791 cluster=intermediate_queue_0 done=97 window_fps=11.31
1785418629947686283 cluster=intermediate_queue_0 done=98 window_fps=12.89
1785418634355375169 cluster=intermediate_queue_0 done=99 window_fps=12.09
1785418637594975388 cluster=intermediate_queue_0 done=100 window_fps=11.38
1785418638112347280 cluster=intermediate_queue_0 done=101 window_fps=12.22
1785418641901193644 cluster=intermediate_queue_0 done=102 window_fps=12.00
1785418645243443493 cluster=intermediate_queue_0 done=103 window_fps=11.90
1785418647367831539 cluster=intermediate_queue_0 done=104 window_fps=11.32
1785418649492679660 cluster=intermediate_queue_0 done=105 window_fps=12.06
1785418653498383867 cluster=intermediate_queue_0 done=106 window_fps=11.80
1785418654749854127 cluster=intermediate_queue_0 done=107 window_fps=11.63
1785418657085987661 cluster=intermediate_queue_0 done=108 window_fps=12.88
1785418662024037047 cluster=intermediate_queue_0 done=109 window_fps=11.50
1785418663386768125 cluster=intermediate_queue_0 done=110 window_fps=11.39
1785418664286444888 cluster=intermediate_queue_0 done=111 window_fps=12.95
1785418671050770829 cluster=intermediate_queue_0 done=112 window_fps=11.37
1785418671159747677 cluster=intermediate_queue_0 done=113 window_fps=11.65
1785418671282558600 cluster=intermediate_queue_0 done=114 window_fps=13.00
1785418678846156057 cluster=intermediate_queue_0 done=115 window_fps=11.64
1785418679168204087 cluster=intermediate_queue_0 done=116 window_fps=11.69
1785418679607207490 cluster=intermediate_queue_0 done=117 window_fps=12.73
1785418686333692918 cluster=intermediate_queue_0 done=118 window_fps=11.68
1785418686692619234 cluster=intermediate_queue_0 done=119 window_fps=12.21
1785418687218816487 cluster=intermediate_queue_0 done=120 window_fps=12.72
1785418692812203375 cluster=intermediate_queue_0 done=121 window_fps=12.21
1785418693902321447 cluster=intermediate_queue_0 done=122 window_fps=12.26
1785418696643403595 cluster=intermediate_queue_0 done=123 window_fps=12.13
1785418699681666252 cluster=intermediate_queue_0 done=124 window_fps=12.75
1785418701323677310 cluster=intermediate_queue_0 done=125 window_fps=12.65
1785418705868864958 cluster=intermediate_queue_0 done=126 window_fps=11.54
1785418706183758804 cluster=intermediate_queue_0 done=127 window_fps=13.66
1785418708941744420 cluster=intermediate_queue_0 done=128 window_fps=12.70
1785418713947846628 cluster=intermediate_queue_0 done=129 window_fps=11.25
1785418714047350624 cluster=intermediate_queue_0 done=130 window_fps=13.64
1785418716762752212 cluster=intermediate_queue_0 done=131 window_fps=12.77
1785418722263281861 cluster=intermediate_queue_0 done=132 window_fps=11.25
1785418722789625575 cluster=intermediate_queue_0 done=133 window_fps=13.17
1785418724064696667 cluster=intermediate_queue_0 done=134 window_fps=12.84
1785418730100375085 cluster=intermediate_queue_0 done=135 window_fps=11.19
1785418731011305305 cluster=intermediate_queue_0 done=136 window_fps=12.57
1785418732595087062 cluster=intermediate_queue_0 done=137 window_fps=12.41
1785418736692346746 cluster=intermediate_queue_0 done=138 window_fps=11.99
1785418739246006863 cluster=intermediate_queue_0 done=139 window_fps=12.13
1785418741206071993 cluster=intermediate_queue_0 done=140 window_fps=12.04
1785418744709217143 cluster=intermediate_queue_0 done=141 window_fps=12.36
1785418747140262080 cluster=intermediate_queue_0 done=142 window_fps=11.72
1785418749087815901 cluster=intermediate_queue_0 done=143 window_fps=11.96
1785418752074984094 cluster=intermediate_queue_0 done=144 window_fps=12.59
1785418755111873112 cluster=intermediate_queue_0 done=145 window_fps=11.69
1785418756971794846 cluster=intermediate_queue_0 done=146 window_fps=11.94
1785418759261514644 cluster=intermediate_queue_0 done=147 window_fps=12.97
1785418764783405428 cluster=intermediate_queue_0 done=148 window_fps=11.43
1785418765208573404 cluster=intermediate_queue_0 done=149 window_fps=11.67
1785418766493232342 cluster=intermediate_queue_0 done=150 window_fps=13.19
1785418772804849264 cluster=intermediate_queue_0 done=151 window_fps=11.49
1785418773653611681 cluster=intermediate_queue_0 done=152 window_fps=11.69
1785418774280275670 cluster=intermediate_queue_0 done=153 window_fps=12.77
1785418780066942133 cluster=intermediate_queue_0 done=154 window_fps=11.76
1785418781265012157 cluster=intermediate_queue_0 done=155 window_fps=11.98
1785418782501035664 cluster=intermediate_queue_0 done=156 window_fps=12.70
1785418786145092985 cluster=intermediate_queue_0 done=157 window_fps=12.31
1785418789731644765 cluster=intermediate_queue_0 done=158 window_fps=11.81
1785418790693632645 cluster=intermediate_queue_0 done=159 window_fps=12.43
1785418791974352253 cluster=intermediate_queue_0 done=160 window_fps=13.02
1785418798258705610 cluster=intermediate_queue_0 done=161 window_fps=11.63
1785418798782676908 cluster=intermediate_queue_0 done=162 window_fps=12.15
1785418798900781498 cluster=intermediate_queue_0 done=163 window_fps=14.07
1785418805414465740 cluster=intermediate_queue_0 done=164 window_fps=11.94
1785418806273904160 cluster=intermediate_queue_0 done=165 window_fps=12.07
1785418806468982334 cluster=intermediate_queue_0 done=166 window_fps=14.26
1785418812656683536 cluster=intermediate_queue_0 done=167 window_fps=12.31
1785418813717210518 cluster=intermediate_queue_0 done=168 window_fps=12.17
1785418814447736795 cluster=intermediate_queue_0 done=169 window_fps=13.96
1785418821206012721 cluster=intermediate_queue_0 done=170 window_fps=12.02
1785418821510176584 cluster=intermediate_queue_0 done=171 window_fps=12.30
1785418822017934930 cluster=intermediate_queue_0 done=172 window_fps=13.38
1785418829218947126 cluster=intermediate_queue_0 done=173 window_fps=12.16
1785418829233274228 cluster=intermediate_queue_0 done=174 window_fps=12.45
1785418829269433919 cluster=intermediate_queue_0 done=175 window_fps=12.87
1785418836880373499 cluster=intermediate_queue_0 done=176 window_fps=12.43
1785418837731350753 cluster=intermediate_queue_0 done=177 window_fps=12.32
1785418837924071833 cluster=intermediate_queue_0 done=178 window_fps=12.30
1785418843374230788 cluster=intermediate_queue_0 done=179 window_fps=12.64
1785418845817348316 cluster=intermediate_queue_0 done=180 window_fps=12.14
1785418846149139350 cluster=intermediate_queue_0 done=181 window_fps=12.10
1785418849348830087 cluster=intermediate_queue_0 done=182 window_fps=13.08
1785418853335839016 cluster=intermediate_queue_0 done=183 window_fps=12.12
1785418853941941494 cluster=intermediate_queue_0 done=184 window_fps=12.15
1785418858191297242 cluster=intermediate_queue_0 done=185 window_fps=12.98
1785418860722719673 cluster=intermediate_queue_0 done=186 window_fps=12.24
1785418861758851969 cluster=intermediate_queue_0 done=187 window_fps=12.08
1785418866101312526 cluster=intermediate_queue_0 done=188 window_fps=13.01
1785418868288069589 cluster=intermediate_queue_0 done=189 window_fps=12.29
1785418870036418149 cluster=intermediate_queue_0 done=190 window_fps=11.77
1785418874828340304 cluster=intermediate_queue_0 done=191 window_fps=12.65
1785418874963057510 cluster=intermediate_queue_0 done=192 window_fps=12.89
1785418878327058650 cluster=intermediate_queue_0 done=193 window_fps=11.88
1785418883261578242 cluster=intermediate_queue_0 done=194 window_fps=12.03
1785418883796813570 cluster=intermediate_queue_0 done=195 window_fps=12.64
1785418884933822969 cluster=intermediate_queue_0 done=196 window_fps=12.38
1785418891180097203 cluster=intermediate_queue_0 done=197 window_fps=11.47
1785418891684350926 cluster=intermediate_queue_0 done=198 window_fps=12.52
1785418891979951961 cluster=intermediate_queue_0 done=199 window_fps=12.62
1785418898436765479 cluster=intermediate_queue_0 done=200 window_fps=11.93
1785418899668851870 cluster=intermediate_queue_0 done=201 window_fps=12.32
1785418899830195582 cluster=intermediate_queue_0 done=202 window_fps=12.61
1785418905103400300 cluster=intermediate_queue_0 done=203 window_fps=12.31
1785418907439844643 cluster=intermediate_queue_0 done=204 window_fps=12.26
1785418910030705218 cluster=intermediate_queue_0 done=205 window_fps=12.00
1785418911921495790 cluster=intermediate_queue_0 done=206 window_fps=12.94
1785418913694286483 cluster=intermediate_queue_0 done=207 window_fps=12.39
1785418919005863249 cluster=intermediate_queue_0 done=208 window_fps=11.80
1785418919080347409 cluster=intermediate_queue_0 done=209 window_fps=13.40
1785418920282800205 cluster=intermediate_queue_0 done=210 window_fps=13.16
1785418925652726197 cluster=intermediate_queue_0 done=211 window_fps=11.79
1785418928284889368 cluster=intermediate_queue_0 done=212 window_fps=12.94
1785418928357395882 cluster=intermediate_queue_0 done=213 window_fps=13.09
1785418931662029615 cluster=intermediate_queue_0 done=214 window_fps=12.10
1785418936473771484 cluster=intermediate_queue_0 done=215 window_fps=12.62
1785418937374708698 cluster=intermediate_queue_0 done=216 window_fps=12.73
1785418938229283547 cluster=intermediate_queue_0 done=217 window_fps=12.50
1785418944715843725 cluster=intermediate_queue_0 done=218 window_fps=12.12
1785418944799474390 cluster=intermediate_queue_0 done=219 window_fps=12.85
1785418945557422301 cluster=intermediate_queue_0 done=220 window_fps=13.51
1785418951622028254 cluster=intermediate_queue_0 done=221 window_fps=12.09
1785418953176394815 cluster=intermediate_queue_0 done=222 window_fps=12.16
1785418953428649439 cluster=intermediate_queue_0 done=223 window_fps=13.94
1785418958985442380 cluster=intermediate_queue_0 done=224 window_fps=12.03
1785418961564452031 cluster=intermediate_queue_0 done=225 window_fps=11.63
1785418962255408947 cluster=intermediate_queue_0 done=226 window_fps=13.11
1785418966492539745 cluster=intermediate_queue_0 done=227 window_fps=12.56
1785418969352226376 cluster=intermediate_queue_0 done=228 window_fps=11.71
1785418970233354543 cluster=intermediate_queue_0 done=229 window_fps=12.44
1785418974916807381 cluster=intermediate_queue_0 done=230 window_fps=12.49
1785418977635245773 cluster=intermediate_queue_0 done=231 window_fps=11.92
1785418978091965263 cluster=intermediate_queue_0 done=232 window_fps=12.04
1785418983789409511 cluster=intermediate_queue_0 done=233 window_fps=12.28
1785418984630814091 cluster=intermediate_queue_0 done=234 window_fps=12.05
1785418986294565512 cluster=intermediate_queue_0 done=235 window_fps=11.78
1785418992039901331 cluster=intermediate_queue_0 done=236 window_fps=11.88
1785418992287204640 cluster=intermediate_queue_0 done=237 window_fps=12.27
1785418993660666281 cluster=intermediate_queue_0 done=238 window_fps=11.93
1785419000739355554 cluster=intermediate_queue_0 done=239 window_fps=11.50
1785419000981291023 cluster=intermediate_queue_0 done=240 window_fps=12.18
1785419001146978277 cluster=intermediate_queue_0 done=241 window_fps=12.34
1785419007994040149 cluster=intermediate_queue_0 done=242 window_fps=11.57
1785419009903744985 cluster=intermediate_queue_0 done=243 window_fps=11.84
1785419010538987558 cluster=intermediate_queue_0 done=244 window_fps=11.91
1785419014795662789 cluster=intermediate_queue_0 done=245 window_fps=12.04
1785419017140224676 cluster=intermediate_queue_0 done=246 window_fps=12.15
1785419019992487884 cluster=intermediate_queue_0 done=247 window_fps=11.46
1785419022450534393 cluster=intermediate_queue_0 done=248 window_fps=12.42
1785419024414130695 cluster=intermediate_queue_0 done=249 window_fps=12.07
1785419029074811122 cluster=intermediate_queue_0 done=250 window_fps=11.22
1785419029691983148 cluster=intermediate_queue_0 done=251 window_fps=12.75
1785419031876868259 cluster=intermediate_queue_0 done=252 window_fps=12.12
1785419036996862196 cluster=intermediate_queue_0 done=253 window_fps=11.08
1785419038482484461 cluster=intermediate_queue_0 done=254 window_fps=12.72
1785419040190529043 cluster=intermediate_queue_0 done=255 window_fps=12.24
1785419045375236602 cluster=intermediate_queue_0 done=256 window_fps=10.85
1785419046279324525 cluster=intermediate_queue_0 done=257 window_fps=12.54
1785419049185774898 cluster=intermediate_queue_0 done=258 window_fps=12.22
1785419054617819880 cluster=intermediate_queue_0 done=259 window_fps=10.89
1785419055251654178 cluster=intermediate_queue_0 done=260 window_fps=11.86
1785419055748419448 cluster=intermediate_queue_0 done=261 window_fps=12.43
1785419062949138832 cluster=intermediate_queue_0 done=262 window_fps=11.17
1785419063323862377 cluster=intermediate_queue_0 done=263 window_fps=11.74
1785419063710050993 cluster=intermediate_queue_0 done=264 window_fps=12.22
1785419070174553439 cluster=intermediate_queue_0 done=265 window_fps=11.68
1785419070901133514 cluster=intermediate_queue_0 done=266 window_fps=11.65
1785419073222623451 cluster=intermediate_queue_0 done=267 window_fps=11.61
1785419076877741705 cluster=intermediate_queue_0 done=268 window_fps=12.04
1785419078987990522 cluster=intermediate_queue_0 done=269 window_fps=11.85
1785419081441074881 cluster=intermediate_queue_0 done=270 window_fps=11.64
1785419084761576030 cluster=intermediate_queue_0 done=271 window_fps=12.19
1785419087793714171 cluster=intermediate_queue_0 done=272 window_fps=11.56
1785419089705954255 cluster=intermediate_queue_0 done=273 window_fps=11.85
1785419091704924605 cluster=intermediate_queue_0 done=274 window_fps=12.94
1785419096478797468 cluster=intermediate_queue_0 done=275 window_fps=11.64
1785419098782842132 cluster=intermediate_queue_0 done=276 window_fps=11.15
1785419099536408984 cluster=intermediate_queue_0 done=277 window_fps=13.12
1785419103960530107 cluster=intermediate_queue_0 done=278 window_fps=11.81
1785419107518297368 cluster=intermediate_queue_0 done=279 window_fps=10.96
1785419107791184343 cluster=intermediate_queue_0 done=280 window_fps=12.76
1785419111673460448 cluster=intermediate_queue_0 done=281 window_fps=11.77
1785419115283508544 cluster=intermediate_queue_0 done=282 window_fps=11.41
1785419115936363038 cluster=intermediate_queue_0 done=283 window_fps=12.29
1785419120428152197 cluster=intermediate_queue_0 done=284 window_fps=11.58
1785419123651933803 cluster=intermediate_queue_0 done=285 window_fps=11.37
1785419123827790704 cluster=intermediate_queue_0 done=286 window_fps=12.29
1785419128720228331 cluster=intermediate_queue_0 done=287 window_fps=11.73
1785419131363324996 cluster=intermediate_queue_0 done=288 window_fps=11.52
1785419132663928139 cluster=intermediate_queue_0 done=289 window_fps=11.72
1785419136230938599 cluster=intermediate_queue_0 done=290 window_fps=12.07
1785419139031374074 cluster=intermediate_queue_0 done=291 window_fps=11.93
1785419141534122242 cluster=intermediate_queue_0 done=292 window_fps=11.43
1785419143580306981 cluster=intermediate_queue_0 done=293 window_fps=12.12
1785419146561247516 cluster=intermediate_queue_0 done=294 window_fps=12.29
1785419150022986995 cluster=intermediate_queue_0 done=295 window_fps=11.37
1785419150758118220 cluster=intermediate_queue_0 done=296 window_fps=12.28
1785419155166430483 cluster=intermediate_queue_0 done=297 window_fps=12.04
1785419157853683490 cluster=intermediate_queue_0 done=298 window_fps=11.45
1785419158572978967 cluster=intermediate_queue_0 done=299 window_fps=12.58
1785419162842767820 cluster=intermediate_queue_0 done=300 window_fps=12.25
1785419165024821052 cluster=intermediate_queue_0 done=301 window_fps=11.65
1785419165815351846 cluster=intermediate_queue_0 done=302 window_fps=12.94
1785419171240395760 cluster=intermediate_queue_0 done=303 window_fps=12.04
1785419173671768452 cluster=intermediate_queue_0 done=304 window_fps=11.71
1785419174018056608 cluster=intermediate_queue_0 done=305 window_fps=12.70
1785419178633846577 cluster=intermediate_queue_0 done=306 window_fps=12.12
1785419180445680775 cluster=intermediate_queue_0 done=307 window_fps=12.34
1785419182795179933 cluster=intermediate_queue_0 done=308 window_fps=12.24
1785419186754635761 cluster=intermediate_queue_0 done=309 window_fps=11.94
1785419188932031171 cluster=intermediate_queue_0 done=310 window_fps=12.34
1785419189391982364 cluster=intermediate_queue_0 done=311 window_fps=12.42
1785419195285328167 cluster=intermediate_queue_0 done=312 window_fps=11.96
1785419195928458281 cluster=intermediate_queue_0 done=313 window_fps=12.61
1785419197358297379 cluster=intermediate_queue_0 done=314 window_fps=12.38
1785419202535065725 cluster=intermediate_queue_0 done=315 window_fps=12.09
1785419204191296661 cluster=intermediate_queue_0 done=316 window_fps=12.26
1785419204749518454 cluster=intermediate_queue_0 done=317 window_fps=12.33
1785419209295875000 cluster=intermediate_queue_0 done=318 window_fps=12.61
1785419212061662113 cluster=intermediate_queue_0 done=319 window_fps=12.50
1785419213316499982 cluster=intermediate_queue_0 done=320 window_fps=12.21
1785419216896413125 cluster=intermediate_queue_0 done=321 window_fps=12.54
1785419219450734605 cluster=intermediate_queue_0 done=322 window_fps=12.31
1785419222291561273 cluster=intermediate_queue_0 done=323 window_fps=12.15
1785419223583531004 cluster=intermediate_queue_0 done=324 window_fps=13.03
1785419229321795041 cluster=intermediate_queue_0 done=325 window_fps=11.88
1785419229659951422 cluster=intermediate_queue_0 done=326 window_fps=11.92
1785419230417988872 cluster=intermediate_queue_0 done=327 window_fps=13.66
1785419235870598832 cluster=intermediate_queue_0 done=328 window_fps=12.02
1785419237446572149 cluster=intermediate_queue_0 done=329 window_fps=11.97
1785419239169153348 cluster=intermediate_queue_0 done=330 window_fps=13.10
1785419242166164905 cluster=intermediate_queue_0 done=331 window_fps=12.64
1785419245991213355 cluster=intermediate_queue_0 done=332 window_fps=11.64
1785419248128425667 cluster=intermediate_queue_0 done=333 window_fps=12.36
1785419248531339911 cluster=intermediate_queue_0 done=334 window_fps=13.16
1785419253931030519 cluster=intermediate_queue_0 done=335 window_fps=11.82
1785419254540260745 cluster=intermediate_queue_0 done=336 window_fps=12.75
1785419257633606663 cluster=intermediate_queue_0 done=337 window_fps=12.57
1785419260766314432 cluster=intermediate_queue_0 done=338 window_fps=12.48
