1785420854630808609 cluster=intermediate_queue_0 done=1
1785420856933603659 cluster=intermediate_queue_0 done=2
1785420857459435341 cluster=intermediate_queue_0 done=3
1785420862047672379 cluster=intermediate_queue_0 done=4
1785420867393250682 cluster=intermediate_queue_0 done=5
1785420868765583806 cluster=intermediate_queue_0 done=6
1785420870796500841 cluster=intermediate_queue_0 done=7
1785420878209201454 cluster=intermediate_queue_0 done=8
1785420878269104256 cluster=intermediate_queue_0 done=9
1785420879262887533 cluster=intermediate_queue_0 done=10
1785420888177009905 cluster=intermediate_queue_0 done=11
1785420888205899380 cluster=intermediate_queue_0 done=12
1785420888306922837 cluster=intermediate_queue_0 done=13
1785420894985952698 cluster=intermediate_queue_0 done=14
1785420897481894476 cluster=intermediate_queue_0 done=15
1785420898191594608 cluster=intermediate_queue_0 done=16 window_fps=11.02
1785420901979354129 cluster=intermediate_queue_0 done=17 window_fps=10.66
1785420906346364147 cluster=intermediate_queue_0 done=18 window_fps=9.82
1785420907718615907 cluster=intermediate_queue_0 done=19 window_fps=10.51
1785420909162297265 cluster=intermediate_queue_0 done=20 window_fps=11.49
1785420915111880459 cluster=intermediate_queue_0 done=21 window_fps=10.36
1785420916855219437 cluster=intermediate_queue_0 done=22 window_fps=10.42
1785420918457397411 cluster=intermediate_queue_0 done=23 window_fps=11.93
1785420924387219940 cluster=intermediate_queue_0 done=24 window_fps=10.41
1785420925553305770 cluster=intermediate_queue_0 done=25 window_fps=10.37
1785420927779556224 cluster=intermediate_queue_0 done=26 window_fps=12.12
1785420933294395656 cluster=intermediate_queue_0 done=27 window_fps=10.65
1785420933629850859 cluster=intermediate_queue_0 done=28 window_fps=10.59
1785420938022614622 cluster=intermediate_queue_0 done=29 window_fps=11.15
1785420942089939722 cluster=intermediate_queue_0 done=30 window_fps=10.76
1785420942647232768 cluster=intermediate_queue_0 done=31 window_fps=10.80
1785420946282662981 cluster=intermediate_queue_0 done=32 window_fps=10.83
1785420950287415193 cluster=intermediate_queue_0 done=33 window_fps=10.92
1785420952223607956 cluster=intermediate_queue_0 done=34 window_fps=10.79
1785420955032987918 cluster=intermediate_queue_0 done=35 window_fps=10.46
1785420958909292971 cluster=intermediate_queue_0 done=36 window_fps=10.96
1785420960669777049 cluster=intermediate_queue_0 done=37 window_fps=10.96
1785420962504144901 cluster=intermediate_queue_0 done=38 window_fps=10.90
1785420968040482080 cluster=intermediate_queue_0 done=39 window_fps=11.00
1785420968871914040 cluster=intermediate_queue_0 done=40 window_fps=11.08
1785420971739213349 cluster=intermediate_queue_0 done=41 window_fps=10.92
1785420974889117269 cluster=intermediate_queue_0 done=42 window_fps=11.54
1785420977628194190 cluster=intermediate_queue_0 done=43 window_fps=10.91
1785420981650734509 cluster=intermediate_queue_0 done=44 window_fps=11.00
1785420981890447447 cluster=intermediate_queue_0 done=45 window_fps=12.06
1785420985226744598 cluster=intermediate_queue_0 done=46 window_fps=11.27
1785420988890010438 cluster=intermediate_queue_0 done=47 window_fps=11.27
1785420993125673073 cluster=intermediate_queue_0 done=48 window_fps=11.20
1785420993478074008 cluster=intermediate_queue_0 done=49 window_fps=11.64
1785420995100834301 cluster=intermediate_queue_0 done=50 window_fps=11.98
1785421002238091580 cluster=intermediate_queue_0 done=51 window_fps=11.08
1785421002488999273 cluster=intermediate_queue_0 done=52 window_fps=11.48
1785421002842426093 cluster=intermediate_queue_0 done=53 window_fps=11.90
1785421010020046650 cluster=intermediate_queue_0 done=54 window_fps=11.43
1785421011043484284 cluster=intermediate_queue_0 done=55 window_fps=11.38
1785421012470570013 cluster=intermediate_queue_0 done=56 window_fps=11.78
1785421018309901736 cluster=intermediate_queue_0 done=57 window_fps=11.05
1785421020471640606 cluster=intermediate_queue_0 done=58 window_fps=11.20
1785421021599712752 cluster=intermediate_queue_0 done=59 window_fps=12.02
1785421025757037730 cluster=intermediate_queue_0 done=60 window_fps=10.94
1785421029495999938 cluster=intermediate_queue_0 done=61 window_fps=10.84
1785421031650833943 cluster=intermediate_queue_0 done=62 window_fps=11.23
1785421033281905315 cluster=intermediate_queue_0 done=63 window_fps=11.95
1785421038076762835 cluster=intermediate_queue_0 done=64 window_fps=10.76
1785421039810070797 cluster=intermediate_queue_0 done=65 window_fps=10.74
1785421042078116388 cluster=intermediate_queue_0 done=66 window_fps=12.05
1785421046808949925 cluster=intermediate_queue_0 done=67 window_fps=10.83
1785421048924696398 cluster=intermediate_queue_0 done=68 window_fps=10.42
1785421049634359522 cluster=intermediate_queue_0 done=69 window_fps=12.12
1785421056667176866 cluster=intermediate_queue_0 done=70 window_fps=10.52
1785421057686803524 cluster=intermediate_queue_0 done=71 window_fps=10.62
1785421058143171276 cluster=intermediate_queue_0 done=72 window_fps=12.05
1785421064047874804 cluster=intermediate_queue_0 done=73 window_fps=11.02
1785421065423092933 cluster=intermediate_queue_0 done=74 window_fps=10.95
1785421066107362645 cluster=intermediate_queue_0 done=75 window_fps=11.90
1785421072609724651 cluster=intermediate_queue_0 done=76 window_fps=11.13
1785421073727915253 cluster=intermediate_queue_0 done=77 window_fps=11.41
1785421073734998850 cluster=intermediate_queue_0 done=78 window_fps=11.87
1785421080639451647 cluster=intermediate_queue_0 done=79 window_fps=11.28
1785421081568202524 cluster=intermediate_queue_0 done=80 window_fps=11.49
1785421082421540133 cluster=intermediate_queue_0 done=81 window_fps=11.90
1785421089575824283 cluster=intermediate_queue_0 done=82 window_fps=11.22
1785421090176720574 cluster=intermediate_queue_0 done=83 window_fps=11.64
1785421090178098092 cluster=intermediate_queue_0 done=84 window_fps=11.84
1785421097834268381 cluster=intermediate_queue_0 done=85 window_fps=11.66
1785421098129595295 cluster=intermediate_queue_0 done=86 window_fps=11.87
1785421098600692768 cluster=intermediate_queue_0 done=87 window_fps=11.86
1785421106020634648 cluster=intermediate_queue_0 done=88 window_fps=11.44
1785421107191758866 cluster=intermediate_queue_0 done=89 window_fps=11.49
1785421107290374721 cluster=intermediate_queue_0 done=90 window_fps=11.66
1785421114235004786 cluster=intermediate_queue_0 done=91 window_fps=11.53
1785421116249007919 cluster=intermediate_queue_0 done=92 window_fps=11.29
1785421116582137714 cluster=intermediate_queue_0 done=93 window_fps=11.20
1785421121763803634 cluster=intermediate_queue_0 done=94 window_fps=11.67
1785421125971590812 cluster=intermediate_queue_0 done=95 window_fps=10.81
1785421126119692648 cluster=intermediate_queue_0 done=96 window_fps=10.98
1785421128671546615 cluster=intermediate_queue_0 done=97 window_fps=12.28
1785421135794421592 cluster=intermediate_queue_0 done=98 window_fps=10.52
1785421135945328327 cluster=intermediate_queue_0 done=99 window_fps=10.49
1785421136683549959 cluster=intermediate_queue_0 done=100 window_fps=12.36
1785421142875134174 cluster=intermediate_queue_0 done=101 window_fps=10.73
1785421146494193974 cluster=intermediate_queue_0 done=102 window_fps=10.02
1785421147079336160 cluster=intermediate_queue_0 done=103 window_fps=11.69
1785421149801576331 cluster=intermediate_queue_0 done=104 window_fps=11.27
1785421155234777873 cluster=intermediate_queue_0 done=105 window_fps=10.01
1785421156552278958 cluster=intermediate_queue_0 done=106 window_fps=11.34
1785421158428759242 cluster=intermediate_queue_0 done=107 window_fps=11.38
1785421163707997789 cluster=intermediate_queue_0 done=108 window_fps=10.19
1785421164601524595 cluster=intermediate_queue_0 done=109 window_fps=11.21
1785421168257672743 cluster=intermediate_queue_0 done=110 window_fps=11.35
1785421170642475316 cluster=intermediate_queue_0 done=111 window_fps=10.78
1785421172995191245 cluster=intermediate_queue_0 done=112 window_fps=10.83
1785421176869511372 cluster=intermediate_queue_0 done=113 window_fps=11.69
1785421179085103872 cluster=intermediate_queue_0 done=114 window_fps=11.13
1785421182113602927 cluster=intermediate_queue_0 done=115 window_fps=10.57
1785421185105209531 cluster=intermediate_queue_0 done=116 window_fps=11.37
1785421187990331818 cluster=intermediate_queue_0 done=117 window_fps=11.57
1785421191902067669 cluster=intermediate_queue_0 done=118 window_fps=10.71
1785421192167769365 cluster=intermediate_queue_0 done=119 window_fps=11.33
1785421195820380882 cluster=intermediate_queue_0 done=120 window_fps=11.83
1785421198877509264 cluster=intermediate_queue_0 done=121 window_fps=11.34
1785421202201863092 cluster=intermediate_queue_0 done=122 window_fps=10.97
1785421203698763230 cluster=intermediate_queue_0 done=123 window_fps=12.00
1785421206755015044 cluster=intermediate_queue_0 done=124 window_fps=11.39
1785421211232409497 cluster=intermediate_queue_0 done=125 window_fps=11.17
1785421213639670284 cluster=intermediate_queue_0 done=126 window_fps=11.16
1785421213847834686 cluster=intermediate_queue_0 done=127 window_fps=11.75
1785421218990652383 cluster=intermediate_queue_0 done=128 window_fps=11.40
1785421222560062890 cluster=intermediate_queue_0 done=129 window_fps=11.04
1785421223123162182 cluster=intermediate_queue_0 done=130 window_fps=11.70
1785421228421242583 cluster=intermediate_queue_0 done=131 window_fps=11.08
1785421230475320816 cluster=intermediate_queue_0 done=132 window_fps=11.30
1785421232518202376 cluster=intermediate_queue_0 done=133 window_fps=11.82
1785421237794194891 cluster=intermediate_queue_0 done=134 window_fps=10.52
1785421238132417733 cluster=intermediate_queue_0 done=135 window_fps=11.34
1785421241879859576 cluster=intermediate_queue_0 done=136 window_fps=11.16
1785421246385182424 cluster=intermediate_queue_0 done=137 window_fps=10.86
1785421246726561389 cluster=intermediate_queue_0 done=138 window_fps=11.16
1785421250224459471 cluster=intermediate_queue_0 done=139 window_fps=11.04
1785421254217341052 cluster=intermediate_queue_0 done=140 window_fps=11.17
1785421255626166837 cluster=intermediate_queue_0 done=141 window_fps=11.43
1785421260214906679 cluster=intermediate_queue_0 done=142 window_fps=10.35
1785421261512806965 cluster=intermediate_queue_0 done=143 window_fps=11.29
1785421265536783748 cluster=intermediate_queue_0 done=144 window_fps=11.17
1785421268780454528 cluster=intermediate_queue_0 done=145 window_fps=10.51
1785421271533833046 cluster=intermediate_queue_0 done=146 window_fps=11.13
1785421272639355917 cluster=intermediate_queue_0 done=147 window_fps=11.38
1785421277689211618 cluster=intermediate_queue_0 done=148 window_fps=10.63
1785421281095730156 cluster=intermediate_queue_0 done=149 window_fps=11.09
1785421281716057037 cluster=intermediate_queue_0 done=150 window_fps=11.01
1785421285251911525 cluster=intermediate_queue_0 done=151 window_fps=11.07
1785421290458506408 cluster=intermediate_queue_0 done=152 window_fps=10.89
1785421290687340566 cluster=intermediate_queue_0 done=153 window_fps=10.92
1785421292876508223 cluster=intermediate_queue_0 done=154 window_fps=11.25
1785421298889170250 cluster=intermediate_queue_0 done=155 window_fps=10.75
1785421300254759098 cluster=intermediate_queue_0 done=156 window_fps=10.76
1785421300555855114 cluster=intermediate_queue_0 done=157 window_fps=11.90
1785421305118182329 cluster=intermediate_queue_0 done=158 window_fps=11.01
1785421310052134217 cluster=intermediate_queue_0 done=159 window_fps=10.78
1785421310967354124 cluster=intermediate_queue_0 done=160 window_fps=11.38
1785421311474942547 cluster=intermediate_queue_0 done=161 window_fps=12.02
1785421318988209083 cluster=intermediate_queue_0 done=162 window_fps=10.36
1785421319196613258 cluster=intermediate_queue_0 done=163 window_fps=11.56
1785421319425918376 cluster=intermediate_queue_0 done=164 window_fps=12.52
1785421327060604899 cluster=intermediate_queue_0 done=165 window_fps=10.59
1785421327730755690 cluster=intermediate_queue_0 done=166 window_fps=11.30
1785421327803433655 cluster=intermediate_queue_0 done=167 window_fps=12.85
1785421334153568504 cluster=intermediate_queue_0 done=168 window_fps=11.04
1785421337072092828 cluster=intermediate_queue_0 done=169 window_fps=10.86
1785421337191368843 cluster=intermediate_queue_0 done=170 window_fps=12.53
1785421339577047111 cluster=intermediate_queue_0 done=171 window_fps=12.21
1785421347055192416 cluster=intermediate_queue_0 done=172 window_fps=10.32
1785421347173244839 cluster=intermediate_queue_0 done=173 window_fps=11.41
1785421347313413159 cluster=intermediate_queue_0 done=174 window_fps=12.88
1785421354472344322 cluster=intermediate_queue_0 done=175 window_fps=11.03
1785421356334796689 cluster=intermediate_queue_0 done=176 window_fps=10.70
1785421356687674697 cluster=intermediate_queue_0 done=177 window_fps=12.73
1785421361845362485 cluster=intermediate_queue_0 done=178 window_fps=11.25
1785421365066710176 cluster=intermediate_queue_0 done=179 window_fps=10.52
1785421366399192367 cluster=intermediate_queue_0 done=180 window_fps=12.20
1785421369184273316 cluster=intermediate_queue_0 done=181 window_fps=11.58
1785421372700775612 cluster=intermediate_queue_0 done=182 window_fps=10.69
1785421375820274040 cluster=intermediate_queue_0 done=183 window_fps=11.52
1785421377324178302 cluster=intermediate_queue_0 done=184 window_fps=11.92
1785421379921278975 cluster=intermediate_queue_0 done=185 window_fps=11.23
1785421385715210864 cluster=intermediate_queue_0 done=186 window_fps=10.40
1785421386043482423 cluster=intermediate_queue_0 done=187 window_fps=12.31
1785421388348431702 cluster=intermediate_queue_0 done=188 window_fps=11.66
1785421394176190239 cluster=intermediate_queue_0 done=189 window_fps=10.24
1785421395033715175 cluster=intermediate_queue_0 done=190 window_fps=11.83
1785421396116377798 cluster=intermediate_queue_0 done=191 window_fps=12.07
1785421402016368912 cluster=intermediate_queue_0 done=192 window_fps=10.59
1785421402902030501 cluster=intermediate_queue_0 done=193 window_fps=11.69
1785421406141362384 cluster=intermediate_queue_0 done=194 window_fps=11.69
1785421408078037809 cluster=intermediate_queue_0 done=195 window_fps=11.52
1785421413602391610 cluster=intermediate_queue_0 done=196 window_fps=10.81
1785421414524897463 cluster=intermediate_queue_0 done=197 window_fps=11.48
1785421415177381655 cluster=intermediate_queue_0 done=198 window_fps=12.20
1785421421548617895 cluster=intermediate_queue_0 done=199 window_fps=10.85
1785421421968587832 cluster=intermediate_queue_0 done=200 window_fps=11.42
1785421424653930071 cluster=intermediate_queue_0 done=201 window_fps=12.33
1785421428051570661 cluster=intermediate_queue_0 done=202 window_fps=11.43
1785421432115316027 cluster=intermediate_queue_0 done=203 window_fps=10.97
1785421433848265074 cluster=intermediate_queue_0 done=204 window_fps=12.10
1785421435675134381 cluster=intermediate_queue_0 done=205 window_fps=11.81
1785421438315660191 cluster=intermediate_queue_0 done=206 window_fps=11.37
1785421444624388136 cluster=intermediate_queue_0 done=207 window_fps=11.27
1785421444893892017 cluster=intermediate_queue_0 done=208 window_fps=11.43
1785421445206381028 cluster=intermediate_queue_0 done=209 window_fps=12.29
1785421453173510259 cluster=intermediate_queue_0 done=210 window_fps=10.64
1785421453699707739 cluster=intermediate_queue_0 done=211 window_fps=11.97
1785421454159883924 cluster=intermediate_queue_0 done=212 window_fps=12.11
1785421461264508847 cluster=intermediate_queue_0 done=213 window_fps=10.42
1785421462154869162 cluster=intermediate_queue_0 done=214 window_fps=11.82
1785421462509022872 cluster=intermediate_queue_0 done=215 window_fps=11.84
1785421470600425287 cluster=intermediate_queue_0 done=216 window_fps=10.45
1785421470913299083 cluster=intermediate_queue_0 done=217 window_fps=11.20
1785421471087383647 cluster=intermediate_queue_0 done=218 window_fps=12.32
1785421478798674084 cluster=intermediate_queue_0 done=219 window_fps=10.68
1785421479418178297 cluster=intermediate_queue_0 done=220 window_fps=10.97
1785421479888288560 cluster=intermediate_queue_0 done=221 window_fps=11.55
1785421487349396242 cluster=intermediate_queue_0 done=222 window_fps=11.23
1785421488000170349 cluster=intermediate_queue_0 done=223 window_fps=11.14
1785421488659341737 cluster=intermediate_queue_0 done=224 window_fps=11.05
1785421495542488660 cluster=intermediate_queue_0 done=225 window_fps=11.33
1785421497193157619 cluster=intermediate_queue_0 done=226 window_fps=11.04
1785421497341985190 cluster=intermediate_queue_0 done=227 window_fps=11.12
1785421503128140768 cluster=intermediate_queue_0 done=228 window_fps=11.47
1785421506488724231 cluster=intermediate_queue_0 done=229 window_fps=10.83
1785421506510115622 cluster=intermediate_queue_0 done=230 window_fps=10.91
1785421510652991377 cluster=intermediate_queue_0 done=231 window_fps=11.98
1785421515465270415 cluster=intermediate_queue_0 done=232 window_fps=10.77
1785421515804839805 cluster=intermediate_queue_0 done=233 window_fps=10.73
1785421519123627666 cluster=intermediate_queue_0 done=234 window_fps=11.90
1785421523656921920 cluster=intermediate_queue_0 done=235 window_fps=10.85
1785421526171746624 cluster=intermediate_queue_0 done=236 window_fps=10.37
1785421529753543089 cluster=intermediate_queue_0 done=237 window_fps=11.32
1785421530389139189 cluster=intermediate_queue_0 done=238 window_fps=11.32
1785421534950389154 cluster=intermediate_queue_0 done=239 window_fps=10.37
1785421537638362609 cluster=intermediate_queue_0 done=240 window_fps=11.40
1785421539505037376 cluster=intermediate_queue_0 done=241 window_fps=11.34
1785421544197935506 cluster=intermediate_queue_0 done=242 window_fps=10.24
1785421546404563991 cluster=intermediate_queue_0 done=243 window_fps=11.09
1785421548944093722 cluster=intermediate_queue_0 done=244 window_fps=11.31
1785421552225711329 cluster=intermediate_queue_0 done=245 window_fps=10.50
1785421557311146787 cluster=intermediate_queue_0 done=246 window_fps=10.29
